"iSim" "accuracy" "error" "sensitivity" "specificity"
"1" 1 84.5 15.5 59.2 92.7
"2" 2 84.7 15.3 59.5 93.2
"3" 3 84.8 15.2 60.7 92.9
"4" 4 84.5 15.5 59.9 92.9
"5" 5 84.8 15.2 59.8 93
"6" 6 84.9 15.1 61.8 92.4
"7" 7 84.5 15.5 60.2 92.6
"8" 8 84.7 15.3 59.4 93.1
"9" 9 84.6 15.4 60.8 92.6
"10" 10 84.8 15.2 59.9 93.3
"11" 11 84.9 15.1 61.2 92.7
"12" 12 84.3 15.7 59.4 92.6
"13" 13 84.5 15.5 58.5 93.1
"14" 14 84.9 15.1 59.4 93.2
"15" 15 85.3 14.7 61.5 92.9
"16" 16 84.5 15.5 60.7 92.5
"17" 17 84.2 15.8 59.5 92.3
"18" 18 84.8 15.2 61.3 92.4
"19" 19 84.6 15.4 60.3 93
"20" 20 84.4 15.6 59.7 92.6
"21" 21 85.2 14.8 61.1 93.1
"22" 22 84.7 15.3 58.8 93.1
"23" 23 84.9 15.1 60.7 93
"24" 24 84.7 15.3 60.9 92.7
"25" 25 84.8 15.2 59.8 92.9
"26" 26 84.8 15.2 60.9 92.6
"27" 27 84.6 15.4 60.9 92.4
"28" 28 84.5 15.5 59.6 92.8
"29" 29 84.8 15.2 60.2 92.7
"30" 30 84.9 15.1 59.9 93.1
