"algo" "err"
"1" "C4.5" 15.54
"2" "C4.5-auto" 14.46
"3" "C4.5 rules" 14.94
"4" "Voted ID3 (0.6)" 15.64
"5" "Voted ID3 (0.8)" 16.47
"6" "T2" 16.84
"7" "1R" 19.54
"8" "NBTree" 14.1
"9" "CN2" 16
"10" "HOODG" 14.82
"11" "FSS Naive Bayes" 14.05
"12" "IDTM (Decision table)" 14.46
"13" "Naive-Bayes" 16.12
"14" "Nearest-neighbor (1)" 21.42
"15" "Nearest-neighbor (3)" 20.35
"16" "OC1" 15.04
"17" "Logistic Regression" 15.2966666666667
"18" "Random Forest" 13.9233333333333
"19" "SVM" 15
"110" "SVM" 14.8566666666667
