"iSim" "accuracy" "error" "sensitivity" "specificity" "mean.oob"
"1" 1 85.7 14.3 62.5 93.2 14.2177974193053
"2" 2 85.9 14.1 64.2 93.2 14.3658680138552
"3" 3 86.7 13.3 65.1 93.7 14.7427915791636
"4" 4 86.2 13.8 63.4 93.8 14.4031699837689
"5" 5 86.1 13.9 64.1 93.5 14.6579391910397
"6" 6 86.8 13.2 66.7 93.3 14.7908691580774
"7" 7 85.6 14.4 63.5 93.3 14.148101545535
"8" 8 86 14 65 93.1 14.5676784736713
"9" 9 86.1 13.9 63.6 93.7 14.4291319366018
"10" 10 85.9 14.1 63.5 93.5 14.2966251161575
"11" 11 86 14 63.2 93.4 14.382414539915
"12" 12 86 14 62.1 94 14.3473447547061
"13" 13 85.8 14.2 64 93 14.2265635444335
"14" 14 86 14 62.4 93.9 14.5221739801676
"15" 15 86.2 13.8 64.3 93.4 14.5290934012583
"16" 16 86.4 13.6 63 93.9 14.4254115828241
"17" 17 86.2 13.8 63.5 94 14.5457829389755
"18" 18 86 14 63.7 93.3 14.4665893397873
"19" 19 86 14 64 93.1 14.2616730760116
"20" 20 86.1 13.9 64 93.7 14.4478634209749
"21" 21 86.2 13.8 63.5 93.9 14.4777025599256
"22" 22 86 14 64.4 93.3 14.2355578714358
"23" 23 86.2 13.8 64 93.5 14.4971259481848
"24" 24 85.9 14.1 63.8 93.2 14.3005094330601
"25" 25 85.7 14.3 63.9 92.9 14.2628907332981
"26" 26 86.3 13.7 64.6 93.3 14.813077721589
"27" 27 86.3 13.7 64.9 93.2 14.7138748968629
"28" 28 85.9 14.1 64.5 93 14.2314868573325
"29" 29 86.4 13.6 64.6 93.6 14.4223488763818
"30" 30 85.7 14.3 63.6 93 14.1922586088203
