"iSim" "accuracy" "error" "sensitivity" "specificity"
"1" 1 85 15 56.4 94.2
"2" 2 85.1 14.9 58.6 94.1
"3" 3 84.9 15.1 57.5 94.2
"4" 4 84.9 15.1 58.2 94
"5" 5 85.2 14.8 59.9 93.5
"6" 6 85.4 14.6 60.2 93.6
"7" 7 85.1 14.9 58.3 94
"8" 8 85.4 14.6 59.4 94
"9" 9 85 15 59 93.8
"10" 10 84.8 15.2 56.6 94.5
"11" 11 85.3 14.7 59.4 93.8
"12" 12 84.6 15.4 57.7 93.7
"13" 13 85 15 59 93.7
"14" 14 85.5 14.5 59.3 94
"15" 15 85.7 14.3 59.4 94.1
"16" 16 85.1 14.9 59.7 93.7
"17" 17 84.9 15.1 58.3 93.6
"18" 18 85.4 14.6 61.3 93.3
"19" 19 85 15 58 94.3
"20" 20 84.9 15.1 60 93.2
"21" 21 85.6 14.4 58.9 94.2
"22" 22 85 15 57.7 94
"23" 23 85.4 14.6 58.8 94.2
"24" 24 85 15 59 93.7
"25" 25 85.1 14.9 58.8 93.5
"26" 26 85.2 14.8 59.5 93.6
"27" 27 85.1 14.9 57 94.3
"28" 28 84.9 15.1 57.9 93.9
"29" 29 85.5 14.5 60 93.6
"30" 30 85.3 14.7 57.4 94.5
